sample_name,sample_id,volume,volume_unit,qubit_concentration,nanodrop_concentration,concentration,concentration_unit,a260_280_ratio,a260_230_ratio,sample_type,priority,status,lab_name,chart_field
JL-147-2,HTSF-002,325.15,μL,1.83,49.0,49.0,ng/μL,101.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
302.8,HTSF-043,1.84,μL,50.0,102.0,102.0,ng/μL,2.0,248.15,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.82,HTSF-044,51.0,μL,105.0,2.0,105.0,ng/μL,284.05,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-52,HTSF-052,106.0,μL,2.0,249.1,249.1,ng/μL,1.84,53.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-110,HTSF-110,2.0,μL,215.55,1.84,215.55,ng/μL,54.0,112.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,321.95,μL,1.84,55.0,55.0,ng/μL,113.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
254.45,HTSF-048,1.84,μL,56.0,115.0,115.0,ng/μL,2.0,238.1,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-049,57.0,μL,117.0,2.0,117.0,ng/μL,351.45,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-58,HTSF-058,118.0,μL,2.0,306.45,306.45,ng/μL,1.84,59.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-123,HTSF-123,2.0,μL,162.2,1.83,162.2,ng/μL,60.0,125.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,270.95,μL,1.84,61.0,61.0,ng/μL,127.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
245.9,HTSF-053,1.83,μL,62.0,129.0,129.0,ng/μL,2.0,305.65,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-054,63.0,μL,131.0,2.0,131.0,ng/μL,170.4,1.85,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
